Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date
P508202,Latin America and Caribbean,Federative Republic of Brazil,,"Amazon and Cerrado Bioeconomy, Forest Restoration, and Climate-Smart Agriculture Project","Expand access to finance for bioeconomy, forest restoration, and climate-smart agriculture, and enhance economic and climate resilience for targeted beneficiaries in the Amazon and Cerrado biomes.",Banco do Brasil,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P508202,"December 20, 2024","December 18, 2025",,"October 31, 2030",CONCEPT REVIEW,I,,400000000,0,,14000000,Banco do Brasil,,,Moderate,,,,"July 8, 2025"
P149286,Eastern and Southern Africa,Republic of Uganda,,Uganda Multisectoral Food Security and Nutrition Project,The Project Development Objective (PDO) is to increase production and consumption of micronutrient-rich foods and utilization of community-based nutrition services in smallholder households in project areas.,"Ministry of Agriculture, Animal Industry & Fisheries",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P149286,"January 7, 2015","January 7, 2015","December 7, 2015","December 29, 2023",BANK APPROVED,G,,,,,27640000,Republic of Uganda,,B,,,,,"July 8, 2024"
P149286,Eastern and Southern Africa,Republic of Uganda,,Uganda Multisectoral Food Security and Nutrition Project,The Project Development Objective (PDO) is to increase production and consumption of micronutrient-rich foods and utilization of community-based nutrition services in smallholder households in project areas.,"Ministry of Agriculture, Animal Industry & Fisheries",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P149286,"January 7, 2015","January 7, 2015","December 7, 2015","December 29, 2023",BANK APPROVED,G,,,,,27640000,Republic of Uganda,,B,,,,,"July 8, 2024"
P149286,Eastern and Southern Africa,Republic of Uganda,,Uganda Multisectoral Food Security and Nutrition Project,The Project Development Objective (PDO) is to increase production and consumption of micronutrient-rich foods and utilization of community-based nutrition services in smallholder households in project areas.,"Ministry of Agriculture, Animal Industry & Fisheries",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P149286,"January 7, 2015","January 7, 2015","December 7, 2015","December 29, 2023",BANK APPROVED,G,,,,,27640000,Republic of Uganda,,B,,,,,"July 8, 2024"
P099857,South Asia,Republic of India,,Jammu & Kashmir Participatory Watershed Management,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P099857,"March 17, 2006","January 11, 2015",,,BEGIN APPRAISAL,O,,0,120000000,,0,,,B,,,,,"December 19, 2024"
P099857,South Asia,Republic of India,,Jammu & Kashmir Participatory Watershed Management,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P099857,"March 17, 2006","January 11, 2015",,,BEGIN APPRAISAL,O,,0,120000000,,0,,,B,,,,,"December 19, 2024"
P099857,South Asia,Republic of India,,Jammu & Kashmir Participatory Watershed Management,,,,https://projects.worldbank.org/en/projects-operations/project-detail/P099857,"March 17, 2006","January 11, 2015",,,BEGIN APPRAISAL,O,,0,120000000,,0,,,B,,,,,"December 19, 2024"
P150941,Eastern and Southern Africa,Republic of Burundi,,Eight Economic Reform Support Grant 8,The program aims to contribute to the Government of Burundi’s objective of protecting and consolidating the country’s transition from a post-conflict to a more stable economy through: (i) strengthening Public Finance Management and Budget Transparency; (ii) promoting private sector development and economic diversification; and (iii) strengthening safety nets systems,Ministry of Finance and Economic Development Planning,,https://projects.worldbank.org/en/projects-operations/project-detail/P150941,"January 13, 2015","January 13, 2015","March 3, 2015","December 31, 2015",BANK APPROVED,I,,0,25000000,,0,,,,,,,,"August 1, 2024"
P150941,Eastern and Southern Africa,Republic of Burundi,,Eight Economic Reform Support Grant 8,The program aims to contribute to the Government of Burundi’s objective of protecting and consolidating the country’s transition from a post-conflict to a more stable economy through: (i) strengthening Public Finance Management and Budget Transparency; (ii) promoting private sector development and economic diversification; and (iii) strengthening safety nets systems,Ministry of Finance and Economic Development Planning,,https://projects.worldbank.org/en/projects-operations/project-detail/P150941,"January 13, 2015","January 13, 2015","March 3, 2015","December 31, 2015",BANK APPROVED,I,,0,25000000,,0,,,,,,,,"August 1, 2024"
P150941,Eastern and Southern Africa,Republic of Burundi,,Eight Economic Reform Support Grant 8,The program aims to contribute to the Government of Burundi’s objective of protecting and consolidating the country’s transition from a post-conflict to a more stable economy through: (i) strengthening Public Finance Management and Budget Transparency; (ii) promoting private sector development and economic diversification; and (iii) strengthening safety nets systems,Ministry of Finance and Economic Development Planning,,https://projects.worldbank.org/en/projects-operations/project-detail/P150941,"January 13, 2015","January 13, 2015","March 3, 2015","December 31, 2015",BANK APPROVED,I,,0,25000000,,0,,,,,,,,"August 1, 2024"
