Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date,Total_IBRD_IDA_clean
P508202,Latin America and Caribbean,Federative Republic of Brazil,,"Amazon and Cerrado Bioeconomy, Forest Restoration, and Climate-Smart Agriculture Project","Expand access to finance for bioeconomy, forest restoration, and climate-smart agriculture, and enhance economic and climate resilience for targeted beneficiaries in the Amazon and Cerrado biomes.",Banco do Brasil,TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P508202,"December 20, 2024","December 18, 2025",,"October 31, 2030",CONCEPT REVIEW,I,,400000000.0,0.0,,14000000.0,Banco do Brasil,,,Moderate,,,,"July 8, 2025",
P166189,Western and Central Africa,Republic of Congo,,Northern Congo Agroforestry Project,To strengthen climate-smart agriculture and conservation practices in Community Development Zones in the departments of Sangha and Likouala,Republic of Congo - Ministry of Forest Economy,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P166189,"August 3, 2018","February 8, 2022","August 18, 2022","January 31, 2027",BANK APPROVED,G,,,,,15575000.0,"Republic of Congo - Ministry of Finance, Budget and Public Portfolio",,B,,,,,"April 18, 2024",
P175669,Latin America and Caribbean,Argentine Republic,,Sustainable Recovery of Landscapes and Livelihoods in Argentina Project,To improve the management and resilience of ecosystems and related livelihoods of local communities in selected conservation and production landscapes and seascapes,Administracion de Parques Nacionales,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P175669,"January 21, 2021","February 24, 2022","August 31, 2022","May 31, 2027",BANK APPROVED,I,,45000000.0,0.0,,12000000.0,Argentine Republic,,,Substantial,,,,"February 1, 2024",
P175325,Western and Central Africa,Republic of Senegal,,Casamance Economic Development Project,"The development objective of the project is to build inclusive local governance systems that deliver climate resilient local services and infrastructure, in targeted communities in Casamance.","Ministry of Territorial Communities, Development and Land Management (MCTDAT), Project Implementing",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P175325,"December 18, 2020","February 25, 2022","May 24, 2022","June 30, 2027",BANK APPROVED,I,,0.0,45000000.0,,0.0,Republic of Senegal,,,Substantial,,,,"June 15, 2023",
P171524,Europe and Central Asia,Central Asia,,RESILAND CA+ Program: Tajikistan Resilient Landscape Restoration Project,"The Project Development Objective is to increase the area under sustainable landscape management in selected locations in Tajikistan, and promote Tajikistan's collaboration with Central Asia countries on transboundary landscape restoration.",The Committee for Environmental Protection under the Government of the Republic of Tajikistan,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P171524,"November 11, 2020","February 25, 2022","November 11, 2022","September 30, 2027",BANK APPROVED,I,,0.0,45000000.0,,0.0,Republic of Tajikistan,,,Substantial,,,,"February 10, 2024",
P175587,Europe and Central Asia,Kyrgyz Republic,,Second Regional Economic Development Project,"The objective of the Project is to (i) improve access to basic municipal services; (ii) strengthen competitiveness of selected agriculture value chains; (iii) increase SME activities in the Batken region; and (iv) in case of an Eligible Crisis or Emergency, respond promptly and effectively to it.",Community Development and Investment Agency (ARIS),No,https://projects.worldbank.org/en/projects-operations/project-detail/P175587,"September 24, 2021","March 3, 2022","August 17, 2022","December 17, 2027",BANK APPROVED,I,,0.0,50000000.0,,0.0,Kyrgyz Republic,,,Substantial,,,,"January 5, 2024",
P172945,"Middle East, North Africa, Afghanistan, and Pakistan",Islamic Republic of Pakistan,,Punjab Urban Land Systems Enhancement Project,"The objectives of the Project are to support the Government of Punjab with: (i) improved land records; and (ii) identification of land for development, including land for housing programs.","Punjab Land Records Authority,Province of Punjab, Board of Revenue",No,https://projects.worldbank.org/en/projects-operations/project-detail/P172945,"April 9, 2020","March 10, 2022","October 6, 2022","June 30, 2027",BANK APPROVED,I,,0.0,150000000.0,,0.0,Islamic Republic of Pakistan,,,High,,,,"March 22, 2024",
P172592,Latin America and Caribbean,Belize,,Climate Resilient and Sustainable Agriculture Project,The Project Development Objectives are to: (i) increase agricultural productivity and the adoption of climate-smart agricultural approaches among project beneficiaries; and (ii) respond effectively to an Eligible Crisis or Emergency event.,"Ministry of Economic Development,Ministry of Agriculture, Food Security, and Enterprise (MAFSE)",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P172592,"July 22, 2020","March 14, 2022","September 15, 2022","March 31, 2027",BANK APPROVED,I,,25000000.0,0.0,,0.0,BELIZE,,,Moderate,,,,"January 23, 2024",
P176903,Eastern and Southern Africa,Republic of Kenya,,Accelerating Reforms for an Inclusive and Resilient Recovery DPF 2,"Contributing to Kenya’s inclusive and resilient recovery from the COVID-19 crisis by strengthening (1) fiscal management, (2) operational efficiency in the electricity sector while placing Kenya on an efficient green energy path, and (3) the governance framework for Kenya’s natural and human capital (environment, land, water and healthcare).",The National Treasury and Planning,,https://projects.worldbank.org/en/projects-operations/project-detail/P176903,"December 17, 2021","March 16, 2022","March 25, 2022","February 28, 2023",BANK APPROVED,I,,230000000.0,520000000.0,,0.0,The Republic of Kenya,,,,,,,"April 19, 2023",
P177843,Eastern and Southern Africa,Eastern and Southern Africa,,Additional Financing to Emergency Locust Response Project,To respond to the threat posed by the locust outbreak and to strengthen systems for preparedness.,"Djibouti Ministry of Agriculture, Water, Livestock and Fish Resources,Uganda - Office of the Prime Minister,Uganda - Ministry of Agriculture, Animal Industry and Fisheries,Kenya Ministry of Agriculture, Livestock, Fisheries and Cooperation,Ethiopia Food Security Coordination Directorate, Ministry of Agriculture, Natural Resources & Food",TBD,https://projects.worldbank.org/en/projects-operations/project-detail/P177843,"January 21, 2022","March 17, 2022",,"December 31, 2026",BANK APPROVED,I,,0.0,35000000.0,,0.0,"Republic of Djibouti,Republic of Kenya,Republic of Uganda,Federal Democratic Republic of Ethiopia",,,,,,,"May 28, 2024",
