Project Id,Region,Country,Project Status,Project Name,Project Development Objective,Implementing Agency,Consultant Services Required,Project URL,Disclosure Date,Board Approval Date,Effective Date,Project Closing Date,Last Stage Reached,Financing Type,Total Project Cost $US,IBRD Commitment $US,IDA Commitment $US,"Total IBRD, IDA and GRANT Commitment $US",Grant Amount $US,Borrower,Lending Instrument,Environmental Assessment Category,Environmental and Social Risk,Sector 1,Sector 2,Sector 3,Last Update Date,Total_IBRD_IDA_clean,Abstract
P168606,Western and Central Africa,Republic of Chad,,Chad Second Programmatic Economic Recovery and Resilience Grant,The Program Development Objectives and pillars of the proposed series are to (1) enhance fiscal risk management; (2) improve oil revenue transparency and management; (3) promote resilience and economic diversification in key real sectors; and (4) increase social protection for the poor and vulnerable.,Ministry of Finance and Budget,,https://projects.worldbank.org/en/projects-operations/project-detail/P168606,"January 7, 2019","January 17, 2020","January 30, 2020","January 15, 2021",BANK APPROVED,I,,0.0,100000000.0,,0.0,Republic of Chad,,,,,,,"March 6, 2024",,"The development objectives and pillars of Second Programmatic Economic Recovery and Resilience Development Policy Financing Project are to (1) enhance fiscal risk management; (2) improve oil revenue transparency and management; (3) promote resilience and economic diversification in key real sectors; and (4) increase social protection for the poor and vulnerable. This operation is the second in a programmatic series of two development policy grants for the period 2017-2020, and is well aligned with the strategic objectives of the 2017-2021 national development plan (NDP)."
P163004,Western and Central Africa,Republic of Cote d'Ivoire,,Dedicated Grant Mechanism for Cote d'Ivoire,"The Project Development Objective is to strengthen the capacity of targeted local communities to participate in REDD+ processes at the local, national, and global levels.",Care International,No,https://projects.worldbank.org/en/projects-operations/project-detail/P163004,"March 7, 2017","January 20, 2020","August 28, 2020","April 30, 2024",BANK APPROVED,G,,,,,4500000.0,CARE International,,B,,,,,"June 4, 2024",,
P171465,Latin America and Caribbean,Grenada,,Disaster Risk Management Development Policy Credit with a Catastrophe Deferred Drawdown Option,"To strengthen Grenada’s (a) disaster and climate resilience policy framework, and (b) fiscal risk management associated with natural hazards.","Ministry of Finance, Planning Economic and Physical Development",,https://projects.worldbank.org/en/projects-operations/project-detail/P171465,"August 15, 2019","January 21, 2020","March 25, 2020","February 16, 2026",BANK APPROVED,I,,0.0,20000000.0,,0.0,Grenada,,,,,,,"January 23, 2024",,"The development objectives of Disaster Risk Management Development Policy Credit with a Catastrophe Deferred Drawdown Option Project is to strengthen Grenada’s (a) disaster and climate resilience policy framework, and (b) fiscal risk management associated with natural hazards. This objective will be achieved through reforms under two pillars: (i) Enhancing policy and institutional framework for improved disaster risk management and climate change, and (ii) Strengthening financial resilience against natural hazards and climate change. This operation contributes to the country’s overall objective of enhancing resilience in a comprehensive manner, as stated in the government of Grenada (GoG’s) programmatic agenda. The GoG’s medium-term agenda (MTA) for 2019-2021 and the NSDP 2020-2035 highlight Grenada’s inherent high vulnerability to natural hazards and macroeconomic risks as major sources of risk to the stability of the country's public finances. This Cat DDO operation aims at supporting the integration of disaster and climate risk considerations as a core element in the design and implementation of public policies that impact the sustainability of the country’s natural resource base and social and development gains."
P168014,Europe and Central Asia,"North Macedonia, Republic of",,Agriculture Modernization Project,Improve competitiveness in targeted agricultural sub-sectors and strengthen agricultural public sector readiness for EU accession.,"Ministry of Agriculture, Forestry and Water Economy",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P168014,"March 11, 2019","January 30, 2020","June 18, 2021","December 31, 2027",BANK APPROVED,G,,44368352.0,0.0,,4400000.0,Ministry of Finance,,,Moderate,,,,"January 24, 2024",,"The development objective of Agriculture Modernization Project for North Macedonia is to improve competitiveness in targeted agricultural sub-sectors and strengthen agricultural public sector readiness for EU accession. This project has three components. 1) The first component, Agriculture Sector Competitiveness, aims at enhancing farm-level competitiveness and fostering agricultural produce aggregation and integration of farmers to domestic and/or export markets. It has the following subcomponents: (i) Access to Training and Advisory Services; and (ii) Agriculture and Food Distribution Systems. 2) The second component, Institutional Capacity for EU Accession, aims at enhancing public support services, including the capacity to design and deliver effective support to the agriculture sector. It includes following three sub-components: (i) Evidence-Based Policy-Making; (ii) Instrument for Pre-Accession and Assistance for Rural Development (IPARD) Implementation Capacity; and (iii) Safe Disposal of Animal By-Products (ABPs). 3) The third component, Project Management, aims to supporting Ministry of Agriculture, Forestry and Water Economy (MAFWE) in the efficient implementation of the project."
P170810,East Asia and Pacific,Lao People's Democratic Republic,,Additional Financing for Scaling Up Participatory Sustainable Forest Management Project,"To strengthen participatory sustainable forest management in targeted production forest areas, and forest landscape management in targeted provinces",Ministry of Agriculture and Forestry,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P170810,"October 28, 2019","February 11, 2020",,"July 31, 2022",BANK APPROVED,I,,0.0,5000000.0,,0.0,Ministry of Finance,,A,,,,,"July 16, 2024",,
P165129,South Asia,Republic of India,,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,To improve upstream watershed management and increase agricultural water productivity in selected Gram Panchayats in Himachal Pradesh.,"Department of Forest, Government of Himachal Pradesh",No,https://projects.worldbank.org/en/projects-operations/project-detail/P165129,"July 8, 2019","February 18, 2020","May 28, 2020","March 31, 2026",BANK APPROVED,I,,80000000.0,0.0,,0.0,Republic of India,,,Moderate,,,,"February 23, 2024",,"The development objective of Integrated Project for Source Sustainability and climate Resilient Rain-fed Agriculture in Himachal Pradesh for India is to improve upstream watershed management and increase agricultural water productivity in selected Gram Panchayats in Himachal Pradesh. This project has five components. 1) The first component, Sustainable Land and Water Resource Management, promotes participatory and sustainable land and water management (SLWM) through financing the planning and implementation of upstream investments in selected micro-catchments. It has the following subcomponents: (i) Improved planning for participatory and sustainable land and water management; and (ii) Implementation of participatory and SLWM investments as identified by the Gram Panchayat Resource Management Plan (GP-RMPs). 2) The second component, Improved Agricultural Productivity and Value Addition, aims to support interventions in downstream areas where the primary (existing or potential) water use is for irrigation in agriculture. It has the following subcomponents: (i) Improved water productivity; and (ii) Adoption of Climate Smart Technologies and Diversification into High-Value Crops. 3) The third component, Institutional capacity building for integrated watershed management, has the following subcomponents: (i) Improving the governance structure for integrated watershed management; and (ii) Institutional reform and strengthening of the Himachal Pradesh Forest Department. 4) The fourth component, Project Management, aims to support project management, including key staff and operational costs."
P164031,Western and Central Africa,Federal Republic of Nigeria,,Ogun State Economic Transformation Project,"The Project Development Objective (PDO) is to increase the participation of the private sector in the economy of Ogun State with a focus on improving the business-enabling environment, strengthening agri-food value-chains and upgrading skills.",Ogun State Government,No,https://projects.worldbank.org/en/projects-operations/project-detail/P164031,"February 18, 2020","February 18, 2020","March 16, 2021","December 31, 2025",BANK APPROVED,I,,0.0,205306336.0,,0.0,Federal Republic of Nigeria,,B,,,,,"December 15, 2023",,"The development objective of the Ogun State Economic Transformation Project for Nigeria is to increase the participation of the private sector in the economy of Ogun state with a focus on improving the business-enabling environment (BBE), strengthening agri-food value-chains, and upgrading skills. The project comprises of two components. The first component, results-based financing to improve the business-enabling environment and foster private sector participation in the agri-food and skills sectors will support the Ogun state government’s reform efforts to increase private sector investment through the following three results areas: (i) improving the BEE; (ii) strengthening agri-food value chains; and (iii) upgrading skills. The second component, strengthening the capacity of the government to implement the state’s economic transformation agenda will finance technical assistance (TA) and investments to support the implementation of the results-based component. It consists of following sub-components: (i) improving the business environment; (ii) strengthening agri-food value-chains; (iii) upgrading skills development; (iv) improving public sector management; and (v) project implementation support."
P163353,Western and Central Africa,Federal Republic of Nigeria,,Nigeria Rural Access and Agricultural Marketing Project,"The proposed project objective is to improve rural access and agricultural marketing in participating states while strengthening the financing and institutional base for effective development, maintenance and management of the rural road network.",Federal Ministry of Agriculture and Rural Development,Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P163353,"June 30, 2017","February 18, 2020","March 16, 2021","December 31, 2027",BANK APPROVED,O,,0.0,280000000.0,,230000000.0,Federal Repulic of Nigeria,,B,,,,,"April 28, 2024",,"The development objective of Rural Access and Agricultural Marketing Project for Nigeria is to improve rural access and agricultural marketing in participating states while strengthening the financing and institutional base for effective development, maintenance and management of the rural road network. This project has four components. 1) The first component, Improvement of Rural Access and Trading Infrastructure, has two subcomponents: (i) Major Civil Works; and (ii) Consultancies and Supervision. 2) The second component, Asset Management, Agro-logistics Performance Enhancement and Sector Reform, has the following subcomponents: (i) Other Civil works; (ii) Support to Agro-logistics Activities; and (iii) Consultancies Studies and Supervision. 3) The third component, Institutional Development, Project Management and Risk Mitigation, is to provide technical and material support for the rural transport and agrologistics capacity building, smooth functioning of the project and risk mitigation and resiliency activities. 4) The fourth component, Contingent Emergency Response, aims to address any emergency infrastructure needs following a natural disaster."
P171796,Europe and Central Asia,Georgia,,Additional Financing for Irrigation and Land Market Development Project,"The Project Development Objectives are to: (a) improve delivery of the irrigation and drainage services in selected areas; and (b) develop improved policies, procedures, and systems as a basis for a national land management program.","Ministry of Justice,Ministry of Environment Protection and Agriculture,National Agency of Public Registry (NAPR)",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P171796,"December 11, 2019","February 20, 2020",,"September 30, 2023",BANK APPROVED,I,,20400000.0,0.0,,0.0,"Public Debt Management Department, Ministry of Finance of Georgia",,B,,,,,"October 12, 2023",,
P170283,East Asia and Pacific,Solomon Islands,,Additional Financing to Rural Development Program II,The objective of the Project is to assist the Recipient to improve basic infrastructure and services in rural areas and to strengthen the linkages between smallholder farming households and markets.,"Ministry of Development Planning and Aid Coordination,Ministry of Agriculture and Livestock Development",Yes,https://projects.worldbank.org/en/projects-operations/project-detail/P170283,"June 18, 2019","February 26, 2020",,"February 7, 2022",BANK APPROVED,I,,0.0,2200000.0,,0.0,Solomon Islands,,B,,,,,"September 8, 2022",,
